City,Country,Cloudiness,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Mossamedes,AO,20,1619798222,73,-15.1961,12.1522,78.8,17.27
Belyy Yar,RU,0,1619798730,71,53.6039,91.3903,46.4,2.24
Bambous Virieux,MU,75,1619798192,78,-20.3428,57.7575,78.8,13.8
Bluff,NZ,52,1619798734,93,-46.6,168.3333,42.01,4
Padang,ID,20,1619798735,94,-0.9492,100.3543,77,2.3
Monrovia,LR,75,1619798737,66,6.3005,-10.7969,89.6,11.5
Thompson,CA,40,1619798738,48,55.7435,-97.8558,35.6,4.61
Phuket,TH,20,1619798740,94,8,98.25,87.01,3.44
Bara,NG,95,1619798741,8,10.3744,10.7288,104,10.31
Lorengau,PG,95,1619798743,78,-2.0226,147.2712,80.38,2.44
Albany,US,100,1619798744,70,42.6001,-73.9662,55,5.01
Qasigiannguit,GL,20,1619798746,48,68.8193,-51.1922,39.2,3.44
Tuktoyaktuk,CA,20,1619798748,79,69.4541,-133.0374,12.2,9.22
Araouane,ML,81,1619798199,21,18.9048,-3.5265,96.1,9.82
Arraial do Cabo,BR,20,1619798750,69,-22.9661,-42.0278,77,10.36
Carnarvon,AU,83,1619798602,78,-24.8667,113.6333,69.8,13.8
Silver City,US,1,1619798753,44,32.7701,-108.2803,61,4.61
Ilulissat,GL,20,1619798223,48,69.2167,-51.1,39.2,3.44
Clyde River,CA,90,1619798756,100,70.4692,-68.5914,21.2,3.44
Pevek,RU,100,1619798758,97,69.7008,170.3133,10.51,9.33
La Romana,DO,75,1619798760,70,18.4273,-68.9728,86,13.8
Harper,LR,99,1619798761,70,4.375,-7.7169,84.04,6.08
Neryungri,RU,100,1619798763,98,56.6709,124.6491,24.39,2.73
Hong Kong,HK,83,1619798468,82,22.2855,114.1577,78.01,1.01
Bethel,US,75,1619798766,42,41.3712,-73.414,62.6,17.27
Khani,GE,75,1619798348,82,41.9563,42.9566,59,14.97
Koslan,RU,99,1619798768,85,63.4564,48.8989,36.28,6.55
Tasiilaq,GL,20,1619798770,60,65.6145,-37.6368,33.8,12.66
Palmer,US,75,1619798191,62,42.1584,-72.3287,57.99,19.57
Vaini,TO,75,1619798745,94,-21.2,-175.2,75.2,8.05
Ol'ga,RU,38,1619798377,92,43.7444,135.2892,36.21,4.14
Port Hueneme,US,1,1619798776,67,34.1478,-119.1951,70,8.05
New Norfolk,AU,3,1619798777,85,-42.7826,147.0587,51.01,3.06
Manaus,BR,40,1619798779,62,-3.1019,-60.025,86,4.61
Atuona,PF,21,1619798615,71,-9.8,-139.0333,78.69,5.35
Nadvoitsy,RU,99,1619798785,74,63.8667,34.3167,36.45,8.63
Livingston,GB,0,1619798633,53,55.9029,-3.5226,48.2,10.36
eMkhomazi,ZA,100,1619798787,89,-30.2067,30.7978,64.99,19.33
Caleta de Carquín,PE,3,1619798789,75,-11.0925,-77.6267,70.99,9.53
Cherskiy,RU,98,1619798791,100,68.75,161.3,-2.36,2.17
Lavras,BR,68,1619798120,48,-21.2453,-44.9997,72.41,8.68
Arman',RU,100,1619798794,90,59.7,150.1667,30.07,1.72
Tautira,PF,75,1619798796,83,-17.7333,-149.15,77,2.3
Hilo,US,90,1619798660,83,19.7297,-155.09,71.6,5.75
Torbay,CA,75,1619798730,57,47.6666,-52.7314,50,12.66
Ushuaia,AR,40,1619798574,87,-54.8,-68.3,41,2.01
Vila Velha,BR,75,1619798801,54,-20.3297,-40.2925,80.6,18.41
La Ronge,CA,100,1619798803,75,55.1001,-105.2842,35.6,9.22
Dikson,RU,89,1619798756,95,73.5069,80.5464,8.8,8.81
La Rioja,ES,75,1619798378,71,42.25,-2.5,53.6,8.05
Faanui,PF,96,1619798807,80,-16.4833,-151.75,78.71,6.78
Grindavik,IS,0,1619798809,70,63.8424,-22.4338,41,21.85
Hasaki,JP,20,1619798530,87,35.7333,140.8333,53.6,4.61
Coronado,US,20,1619798557,33,32.6859,-117.1831,80.6,3.44
Jahāngīrpur,IN,59,1619798813,30,28.1833,77.7167,95,15.3
Jamestown,US,75,1619798815,70,42.097,-79.2353,45,17.27
Stann Creek Town,BZ,75,1619798816,70,16.9692,-88.2321,86,8.05
Pallisa,UG,95,1619798818,73,1.145,33.7094,73.98,5.28
Menzelinsk,RU,0,1619798657,30,55.7271,53.1026,53.6,4.47
Esperance,AU,65,1619798759,93,-33.8667,121.9,48.2,4.61
Mossendjo,CG,94,1619798822,95,-2.9506,12.7261,75,1.59
Mahrīz,IR,40,1619798824,15,31.5917,54.4318,84.2,11.72
Broken Hill,AU,22,1619798825,47,-31.95,141.4333,59,6.91
Tobermory,CA,14,1619798827,75,45.2501,-81.6665,39.2,26.46
Nikolskoye,RU,0,1619798828,37,59.7035,30.7861,48.2,17.9
Dragør,DK,90,1619798830,61,55.5946,12.6664,50,11.5
Toumodi,CI,75,1619798832,49,6.5613,-5.0158,95,4.61
Pisco,PE,8,1619798833,83,-13.7,-76.2167,71.01,11.5
Mahébourg,MU,75,1619798835,78,-20.4081,57.7,78.8,13.8
Cururupu,BR,100,1619798836,94,-1.8283,-44.8683,75.81,1.32
Salta,AR,20,1619798838,59,-24.7859,-65.4117,64.99,4.61
Vardø,NO,20,1619798295,68,70.3705,31.1107,26.6,20.71
Snåase,NO,75,1619798841,65,64.2457,12.3778,41,6.91
Marzuq,YE,87,1619798842,59,14.4,46.4667,76.77,5.64
Sinnamary,GF,100,1619798844,93,5.3833,-52.95,75.63,6.44
Maragogi,BR,100,1619798845,69,-9.0122,-35.2225,82.72,11.68
Kudahuvadhoo,MV,11,1619798847,68,2.6708,72.8944,83.89,1.34
Aksarka,RU,100,1619798849,92,66.5606,67.7975,23.4,8.1
Wajima,JP,4,1619798851,83,37.4,136.9,54.45,21.36
Hobart,AU,2,1619798852,82,-42.8794,147.3294,51.8,5.75
Palauig,PH,47,1619798854,78,15.435,119.9045,80.26,5.21
São João da Barra,BR,75,1619798649,65,-21.6403,-41.0511,77,13.8
Maningrida,AU,94,1619798857,77,-12.0667,134.2667,73.24,8.77
Aklavik,CA,100,1619798858,86,68.2191,-135.0107,19.4,5.75
Kamaishi,JP,73,1619798824,79,39.2667,141.8833,47.93,7.83
Mount Vernon,US,75,1619798861,32,40.9126,-73.8371,66.2,23.02
Goianésia,BR,97,1619798863,49,-15.3175,-49.1175,84.09,8.68
Asău,RO,18,1619798864,31,46.4333,26.4,68,12.03
Kumul,CN,0,1619798866,12,42.8,93.45,76.57,3.31
Port Hardy,CA,75,1619798383,100,50.6996,-127.4199,48.2,4.61
Karawang,ID,20,1619798869,83,-6.3042,107.3079,82.4,4.61
Khatanga,RU,100,1619798871,95,71.9667,102.5,31.19,8.75
Maitum,PH,68,1619798872,86,6.0392,124.4986,78.84,3.89
Castro,BR,28,1619798874,52,-24.7911,-50.0119,67.23,10.98
Gigmoto,PH,31,1619798876,76,13.7796,124.39,76.64,2.64
Moerai,PF,98,1619798322,85,-22.4333,-151.3333,77.41,15.84
Nemuro,JP,42,1619798879,79,43.3236,145.575,38.21,21.9
Ambulu,ID,62,1619798880,89,-8.345,113.6058,75.25,3.78
Kendallville,US,90,1619798822,76,41.4414,-85.265,55.4,17.27
Yen Bai,VN,62,1619798883,88,21.7,104.8667,73.51,1.83
La Fria,VE,40,1619798885,58,8.2203,-72.2439,84.2,2.3
Kavieng,PG,80,1619798886,76,-2.5744,150.7967,81.55,4.99
Tiksi,RU,93,1619798888,85,71.6872,128.8694,28.42,4.5
Salair,RU,98,1619798890,79,54.2312,85.7972,38.37,4.83
Tacuarembó,UY,0,1619798891,46,-31.7333,-55.9833,72.9,8.28
Saint-Raymond,CA,100,1619798893,93,45.467,-73.6095,51.01,11.5
Alyangula,AU,5,1619798895,100,-13.8483,136.4192,71.6,11.01
Pangnirtung,CA,90,1619798896,93,66.1451,-65.7125,32,8.05
Moroni,KM,12,1619798880,81,-11.7022,43.2551,81.07,5.61
Margate,GB,5,1619798899,48,51.3813,1.3862,53.01,5.08
Jinchang,CN,0,1619798901,16,38.4953,102.1739,66.31,8.66
Saskylakh,RU,100,1619798902,87,71.9167,114.0833,32.56,9.33
Strezhevoy,RU,75,1619798904,81,60.7333,77.5889,39.2,6.71
Safi,MA,96,1619798905,57,32.2994,-9.2372,63.9,12.71
Salinópolis,BR,99,1619798907,84,-0.6136,-47.3561,79.65,9.78
Ahipara,NZ,100,1619798908,84,-35.1667,173.1667,59.16,8.23
East London,ZA,20,1619798910,82,-33.0153,27.9116,62.6,8.05
Saint Paul Harbor,US,1,1619798911,65,57.79,-152.4072,39.2,8.05
Korla,CN,0,1619798913,15,41.7597,86.1469,76.51,4.03
Cantanhede,BR,67,1619798915,83,-3.6333,-44.3767,82.29,2.21
Severo-Kuril'sk,RU,100,1619798916,92,50.6789,156.125,35.13,18.03
Soma,TR,0,1619798918,54,39.1855,27.6094,80.6,3.44
Saldanha,ZA,0,1619798919,45,-33.0117,17.9442,66.2,17.27
Port Macquarie,AU,29,1619798921,99,-31.4333,152.9167,60.01,4.16
Victor Harbor,AU,100,1619798922,44,-35.5667,138.6167,71.01,9.08
Kavaratti,IN,19,1619798924,73,10.5669,72.642,85.21,10.58
Angoche,MZ,6,1619798925,78,-16.2325,39.9086,79.38,5.1
Seoul,KR,0,1619798789,87,37.5683,126.9778,51.8,5.75
Kruisfontein,ZA,0,1619798928,64,-34.0033,24.7314,61,1.99
Butaritari,KI,80,1619798930,75,3.0707,172.7902,82.56,10.65
High Rock,BS,75,1619798931,65,26.6208,-78.2833,82.4,10.36
Suruç,TR,40,1619798933,55,36.9761,38.425,66.2,13.8
Saint-Joseph,RE,0,1619798934,83,-21.3667,55.6167,77,4.61
Tazovsky,RU,100,1619798936,95,67.4667,78.7,31.89,10.42
Teya,RU,99,1619798938,99,60.3778,92.6267,36.59,8.86
Husavik,IS,75,1619798939,87,66.0449,-17.3389,35.6,12.66
Alice Springs,AU,0,1619798941,50,-23.7,133.8833,51.8,4.61
Port Elizabeth,ZA,0,1619798943,59,-33.918,25.5701,64.4,19.57
La Victoria,VE,40,1619798944,70,10.2184,-67.3302,84.2,2.3
Mirny,RU,100,1619798946,96,62.5353,113.9611,30.34,3.4
Los Llanos de Aridane,ES,40,1619798947,60,28.6585,-17.9182,69.8,21.85
Tuy Hoa,VN,71,1619798949,89,13.0833,109.3,77.31,0.63
Avarua,CK,75,1619798951,100,-21.2078,-159.775,77,1.14
Guerrero Negro,MX,0,1619798953,44,27.9769,-114.0611,73.87,8.32
Mlandizi,TZ,75,1619798954,94,-6.7,38.7333,78.8,6.91
Hermanus,ZA,3,1619798956,64,-34.4187,19.2345,60.01,1.01
Mocuba,MZ,42,1619798958,91,-16.8392,36.9856,74.39,4.36
Campbell River,CA,90,1619798959,100,50.0163,-125.2446,51.01,1.57
Bukachacha,RU,59,1619798961,80,52.9833,116.9167,32.79,3.89
Kleive,NO,75,1619798963,52,62.7954,7.6359,42.8,3.44
Gamba,GA,100,1619798964,75,-2.65,10,81.48,4.94
Jardim,BR,1,1619798966,26,-21.4803,-56.1381,85.86,6.35
Faranah,GN,98,1619798967,31,10.0404,-10.7434,94.37,3.11
Menongue,AO,85,1619798969,72,-14.6585,17.691,68.83,5.19
Norman Wells,CA,40,1619798970,59,65.282,-126.8329,32,5.75
Coquimbo,CL,0,1619798972,63,-29.9533,-71.3436,64.4,10.36
Beringovskiy,RU,81,1619798374,87,63.05,179.3167,19.11,5.95
Kushima,JP,19,1619798975,72,31.4583,131.2333,60.01,4
Palora,EC,90,1619798976,88,-1.7,-77.9333,69.8,5.75
Buala,SB,93,1619798978,81,-8.145,159.5921,79.14,3.62
Price,US,1,1619798980,29,39.5994,-110.8107,64.4,3.44
Mugur-Aksy,RU,90,1619798981,64,50.35,90.5,43.18,7.52
Morros,BR,96,1619798983,45,-9.4467,-46.3003,87.39,8.55
Kailua,US,40,1619798984,68,21.4022,-157.7394,73.4,10.36
Acaraú,BR,98,1619798986,64,-2.8856,-40.12,85.46,8.05
Ust-Maya,RU,100,1619798987,98,60.4167,134.5333,30.42,2.33
Hattiesburg,US,90,1619798989,73,31.3271,-89.2903,75.2,6.91
Pacific Grove,US,1,1619798991,72,36.6177,-121.9166,57.2,7.99
Barra do Bugres,BR,100,1619798992,33,-15.0725,-57.1811,85.08,1.1
Waipawa,NZ,90,1619798994,76,-41.4122,175.5153,54,19.57
Cabo San Lucas,MX,1,1619798995,31,22.8909,-109.9124,82,5.75
Grand Gaube,MU,9,1619798997,82,-20.0064,57.6608,78.01,5.99
Cedar City,US,1,1619798998,27,37.6775,-113.0619,66.99,1.7
Yellowknife,CA,90,1619799000,93,62.456,-114.3525,28,17.27
Ponta do Sol,PT,20,1619799002,48,32.6667,-17.1,66.99,11.5
Upernavik,GL,92,1619799006,76,72.7868,-56.1549,34.03,6.06
Umeå,SE,40,1619798771,75,63.8284,20.2597,39.2,6.91
Omboué,GA,100,1619799009,74,-1.5746,9.2618,83.19,6.85
Shenjiamen,CN,7,1619799011,85,29.9576,122.298,62.06,15.84
Abu Dhabi,AE,0,1619798805,51,24.4667,54.3667,84.2,4.61
San Patricio,US,90,1619799014,100,28.017,-97.5169,73.99,11.5
Villeta,CO,90,1619799015,77,5.0089,-74.4723,57.2,3.44
Yar-Sale,RU,89,1619799017,96,66.8333,70.8333,28.08,10.74
Olafsvik,IS,53,1619799018,65,64.8945,-23.7142,38.28,22.39
Peniche,PT,26,1619799020,51,39.3558,-9.3811,63,11.01
Forsytheganj,BY,100,1619799021,92,52.6333,29.7333,54.23,3.69
Kendal,GB,100,1619799023,65,54.3268,-2.7476,52,3
Novovelichkovskaya,RU,0,1619799025,56,45.2778,38.8436,71.6,11.18
Port Moresby,PG,81,1619799026,86,-9.4431,147.1797,74.52,5.08
George Town,MY,40,1619798849,94,5.4112,100.3354,77,6.91
Saint-Pierre,RE,0,1619799029,83,-21.3393,55.4781,77,4.61
Natal,BR,75,1619799031,83,-5.795,-35.2094,82.4,13.8
Belaya Gora,RU,100,1619799032,90,68.5333,146.4167,25.3,8.99
Christchurch,NZ,75,1619798954,87,-43.5333,172.6333,51.01,4.61
Pangai,TO,100,1619799035,77,-19.8,-174.35,80.29,6.06
Provideniya,RU,98,1619799037,74,64.3833,-173.3,26.22,2.62
Mogadishu,SO,43,1619799039,72,2.0371,45.3438,83.12,10.31
Meulaboh,ID,89,1619798836,85,4.1363,96.1285,78.94,3.87
Hīt,IQ,4,1619799042,15,33.6416,42.8251,92.14,11.21
Taksimo,RU,6,1619799044,74,56.3444,114.8794,32.2,1.14
Okhotsk,RU,95,1619798758,80,59.3833,143.3,32.16,5.53
Mehamn,NO,75,1619799047,93,71.0357,27.8492,30.2,36.82
Ouango,CF,77,1619799048,61,4.3133,22.5552,81.93,2.82
Cidreira,BR,0,1619798750,62,-30.1811,-50.2056,71.76,12.75
Nazareno,MX,75,1619799051,43,25.3833,-103.4167,73.4,6.69
Øksfjord,NO,75,1619799053,100,70.2396,22.3479,30.2,20.71
Pahrump,US,5,1619799054,14,36.2083,-115.9839,79,3.22
Constitución,CL,100,1619798950,79,-35.3333,-72.4167,58.75,10.69
Coyhaique,CL,75,1619799058,62,-45.5752,-72.0662,57.2,5.75
Ulladulla,AU,4,1619799059,100,-35.35,150.4667,54,3.44
Sitka,US,90,1619799061,81,57.0531,-135.33,44.6,6.91
Saint-Augustin,CA,97,1619799063,76,51.226,-58.6502,43.29,7.11
Ostrołęka,PL,97,1619799064,61,53.0862,21.5757,52,8.01
Nanortalik,GL,6,1619799066,65,60.1432,-45.2371,41.83,5.99
Wencheng,CN,0,1619799068,28,33.0559,113.7978,63.59,14.45
Athens,GR,0,1619798861,44,37.9795,23.7162,80.01,3.44
Chui,UY,0,1619799071,47,-33.6971,-53.4616,70.34,7.87
Kaitangata,NZ,39,1619799073,73,-46.2817,169.8464,45,4
Ulaanbaatar,MN,40,1619799074,74,47.9077,106.8832,30.2,2.24
Lebu,CL,100,1619799010,80,-37.6167,-73.65,58.55,17.02
Honningsvåg,NO,75,1619799077,74,70.9821,25.9704,32,33.38
Kahului,US,90,1619799079,100,20.8947,-156.47,71.6,16.11
Sal Rei,CV,75,1619799080,65,16.1833,-22.9167,77,16.11
Scottsbluff,US,1,1619799082,37,41.8666,-103.6672,69.01,8.05
Yulara,AU,76,1619799083,37,-25.2406,130.9889,53.6,3.44
Prachuap Khiri Khan,TH,83,1619799063,70,12.2167,99.75,84.99,2.57
Lavrentiya,RU,28,1619799086,92,65.5833,-171,11.25,5.39
Ugoofaaru,MV,65,1619799088,72,5.6667,73,84.15,5.17
Shimoda,JP,0,1619799089,61,34.6667,138.95,59,3
Nazarovo,RU,14,1619799091,78,56.0064,90.3914,42.08,7.43
San Quintín,MX,0,1619799092,38,30.4833,-115.95,75.61,5.91
Purranque,CL,90,1619799094,92,-40.9167,-73.1667,55.4,11.5
Linjiang,CN,96,1619799044,91,41.8069,126.9078,41.72,0.56
Meyrin,CH,75,1619799097,87,46.2342,6.0803,50,3.44
Dzilam González,MX,74,1619799098,53,21.2833,-88.9333,84.83,8.08
Kotido,UG,17,1619799100,39,2.9806,34.1331,79.25,7.7
Ribeira Grande,PT,40,1619799102,63,38.5167,-28.7,62.6,8.05
San Vicente,AR,1,1619799103,29,-26.6167,-54.1333,75.74,4.56
Tuatapere,NZ,49,1619799105,93,-46.1333,167.6833,42.01,4
Kemijärvi,FI,100,1619799106,67,66.7131,27.4306,28.54,7.94
Garden City,US,75,1619799108,54,42.3256,-83.331,53.6,20.71
Cockburn Town,TC,40,1619799109,61,21.4612,-71.1419,80.6,11.5
Te Anau,NZ,24,1619799111,93,-45.4167,167.7167,39.94,1.32
Pandhāna,IN,53,1619799113,23,21.7,76.2167,93.2,18.75
Malanje,AO,98,1619799114,81,-9.5402,16.341,72.82,1.52
Ancud,CL,90,1619799116,100,-41.8697,-73.8203,55.99,12.66
Kīhei,US,90,1619798848,100,20.785,-156.4656,71.6,16.11
Cambridge,CA,90,1619799119,70,43.3601,-80.3127,43,27.63
Half Moon Bay,US,100,1619798910,93,37.4636,-122.4286,60.01,8.05
Popondetta,PG,25,1619799122,96,-8.7537,148.2534,71.37,2.91
Iroquois Falls,CA,75,1619799123,74,48.7669,-80.6831,30.2,20.71
Ţahţā,EG,0,1619799125,4,26.7693,31.5021,104,8.05
Dingle,PH,33,1619799127,69,10.9995,122.6711,76.66,5.1
Deputatsky,RU,100,1619799128,96,69.3,139.9,18.18,1.57
San Policarpo,PH,22,1619799130,76,12.1791,125.5072,79.56,4.14
Baruun-Urt,MN,29,1619799132,53,46.6806,113.2792,34.38,12.62
Mahibadhoo,MV,8,1619799133,63,3.7833,72.9667,84.02,3.06
Salalah,OM,75,1619799135,84,17.0151,54.0924,84.2,9.22
Cody,US,1,1619799137,22,44.5263,-109.0565,68,4.61
Ürümqi,CN,0,1619799016,15,43.801,87.6005,77,8.95
Kysyl-Syr,RU,100,1619799140,94,63.8986,122.7617,28.9,3.78
Emba,KZ,4,1619798955,36,48.8264,58.1442,54.86,6.46
Grand-Santi,GF,58,1619799143,78,4.25,-54.3833,82.63,3.27
Stowe,US,75,1619799144,55,40.2526,-75.6774,64,12.66
Flin Flon,CA,90,1619799071,41,54.7682,-101.865,39.2,2.3
Richards Bay,ZA,100,1619799147,88,-28.783,32.0377,66.27,16.98
Oodweyne,SO,76,1619799149,53,9.4092,45.064,79.47,7.25
Methóni,GR,0,1619799151,31,36.8197,21.7049,79,5.75
Luang Prabang,LA,71,1619799152,95,19.8856,102.1347,73,1.77
Juegang,CN,98,1619799154,69,32.3174,121.1855,64.99,7.49
Hofn,IS,90,1619799156,70,64.2539,-15.2082,39.2,20.71
Tornio,FI,0,1619799157,41,65.8481,24.1466,35.6,16.11
Abu Kamal,SY,37,1619799159,14,34.4506,40.9171,90.75,10.11
‘Āhuimanu,US,40,1619799161,68,21.4447,-157.8378,73.4,10.36
Elizabethtown,US,1,1619799005,42,37.694,-85.8591,68,9.22
Takoradze,GH,76,1619799164,62,4.8845,-1.7554,86.04,10.67
Tabas,IR,96,1619799165,25,33.5959,56.9244,82.62,2.1
Havelock,US,1,1619799167,41,34.8791,-76.9013,79,19.57
Umm Hājar,TD,0,1619799168,6,13.2954,19.6966,104.29,5.75
Ambon City,ID,67,1619799170,75,-3.6954,128.1814,81.54,3.62
Havre-St-Pierre,CA,40,1619799171,81,50.2334,-63.5986,48.2,11.5
São Filipe,CV,88,1619799173,75,14.8961,-24.4956,73.47,16.82
Rio de Janeiro,BR,20,1619799058,73,-22.9028,-43.2075,82.4,4.61
Dunedin,NZ,39,1619799176,70,-45.8742,170.5036,48.99,10
Chaska,US,1,1619799018,43,44.7894,-93.6022,52,5.44
Broome,US,90,1619799179,62,42.2506,-75.833,51.8,23.02
Miandrivazo,MG,4,1619799181,60,-19.5167,45.4667,82.33,1.43
West Plains,US,1,1619799158,26,36.7281,-91.8524,72,4.16
St. George's,GD,75,1619799184,70,12.0564,-61.7485,84.2,18.41
Waingapu,ID,7,1619799191,87,-9.6567,120.2641,78.31,6.69
Kaduna,NG,82,1619799192,11,10.5222,7.4383,101.75,2.06
Fairbanks,US,90,1619799009,86,64.8378,-147.7164,30.2,11.5
Rio Pardo de Minas,BR,95,1619799195,58,-15.6097,-42.5397,75.69,10.94
Corumbá,BR,0,1619799197,47,-19.0092,-57.6533,82.4,6.91
Geraldton,AU,75,1619799199,67,-28.7667,114.6,57.2,11.5
Macapá,BR,75,1619799200,66,0.0389,-51.0664,87.8,4.61
Shiraoi,JP,75,1619799202,81,42.55,141.35,46.99,25.32
Lima,PE,40,1619799203,78,-12.0432,-77.0282,73,9.22
Caravelas,BR,87,1619799205,67,-17.7125,-39.2481,79.18,11.68
Antofagasta,CL,0,1619799207,68,-23.65,-70.4,70,10.36
Muisne,EC,90,1619799208,94,0.6,-80.0333,78.8,2.3
Lusambo,CD,100,1619799210,96,-4.9667,23.45,72.48,0.76
Kutum,SD,8,1619799211,10,14.2,24.6667,91.18,10.63
Buta,CD,72,1619799213,62,2.7858,24.73,82.18,3.47
Kampong Cham,KH,79,1619799192,66,11.9934,105.4635,83.61,4.9
Sorgun,TR,100,1619799216,62,39.8101,35.186,60.48,0.47
Arlit,NE,0,1619799217,3,18.7369,7.3853,108.05,16.17
Aswān,EG,0,1619799219,6,24.0934,32.907,101.01,11.97
Saint-Leu,RE,0,1619799220,83,-21.15,55.2833,77,4.61
Laguna,US,1,1619799222,55,38.421,-121.4238,66,4.61
Nichinan,JP,9,1619798952,72,31.6,131.3667,60.01,4
Köping,SE,40,1619799225,30,59.514,15.9926,52,9.22
Valley City,US,75,1619799226,36,46.9233,-98.0032,44.6,14.97
Awjilah,LY,0,1619799228,7,29.1081,21.2869,102.4,9.48
Mayo,US,75,1619799230,42,38.8876,-76.5119,69.01,14.97
Revda,RU,0,1619799231,60,56.801,59.9303,39.2,8.95
Shelburne,CA,83,1619799233,95,44.0787,-80.2041,42.01,24.58
Aasiaat,GL,82,1619799234,81,68.7098,-52.8699,33.15,7.27
Klichka,RU,41,1619799236,84,50.4457,117.996,33.64,5.82
Kaeo,NZ,96,1619799238,95,-35.1,173.7833,55,5.01
Kiryat Gat,IL,1,1619799239,46,31.61,34.7642,80.01,10.69
Saint George,US,1,1619799241,20,37.1041,-113.5841,75,1.95
Lieksa,FI,93,1619799243,74,63.3167,30.0167,35.55,6.8
Yenagoa,NG,99,1619799244,65,4.9247,6.2642,86.22,7.81
Spornoye,RU,0,1619799246,39,50.8448,37.2913,66.2,13.42
Bengkulu,ID,100,1619799248,87,-3.8004,102.2655,77.67,5.48
Moa,CU,13,1619799249,56,20.6569,-74.9403,84.54,13.62
Manggar,ID,100,1619799251,74,-2.8833,108.2667,81.36,0.34
Cherdyn',RU,51,1619799252,57,60.403,56.4787,36.93,3.94
Jalu,LY,0,1619799254,7,29.0331,21.5482,102.58,10.36
Walvis Bay,NA,1,1619799255,84,-22.9575,14.5053,62.01,5.99
Izhma,RU,65,1619799257,60,65.0083,53.9113,38.3,6.15
Lavumisa,SZ,94,1619799258,88,-27.31,31.892,68,4.61
Agadez,NE,0,1619799260,4,19.75,10.25,101.44,10.38
Waimana,NZ,29,1619799261,98,-38.15,177.0833,48.99,1.01
Linares,CL,100,1619799263,61,-35.85,-71.6,64.33,7.4
Makarov,RU,100,1619799265,96,48.6333,142.8,33.75,22.48
Chicama,PE,47,1619799266,82,-7.8447,-79.1469,66.2,8.05
Juneau,US,90,1619799113,81,58.3019,-134.4197,44.6,9.22
Cayenne,GF,75,1619799269,83,4.9333,-52.3333,80.6,5.75
Lagoa,PT,9,1619799271,60,39.05,-27.9833,57.88,4.54
Kitui,KE,94,1619799272,64,-1.367,38.0106,70.95,3.83
Joensuu,FI,75,1619799274,70,62.6012,29.7632,39,9.22
Lompoc,US,90,1619799275,100,34.6391,-120.4579,55.4,4.61
Ceres,US,1,1619799006,37,37.5949,-120.9577,68,10.36
Qaqortoq,GL,20,1619799278,25,60.7167,-46.0333,59,20.71
Inuvik,CA,100,1619799280,86,68.3499,-133.7218,23,5.75
Chokurdakh,RU,35,1619799282,93,70.6333,147.9167,-1.37,4.83
Vao,NC,90,1619799283,61,-22.6667,167.4833,74.3,20.15
Wad Rāwah,SD,94,1619799285,15,15.1603,33.1397,98.69,5.99
Montluçon,FR,100,1619799286,66,46.3333,2.6,55.99,1.01
Yashkul',RU,78,1619799288,55,46.1711,45.3435,61.75,11.32
Hailun,CN,94,1619799290,72,47.45,126.9333,47.07,3.56
